,Borough,Neighborhood,ID,Name
107,Queens,Flushing,50f0bc86e4b0942374a965ff,Shogun Palace
108,Queens,Sunnyside,4b4a7016f964a520a18726e3,Ten Full Chinese
109,Queens,Sunnyside,4bbd13baa8cf76b0a95fb1fd,China Garden
110,Queens,East Elmhurst,4e611ef0b61cd78087fa37c7,Lucky
111,Queens,Rego Park,4c8aa1b63dc2a1cd0ca9ae32,Fu Ying Chinese Restaurant
112,Queens,Rego Park,4bafed40f964a520152c3ce3,Grand Sichuan
113,Queens,College Point,4d8805b7d85f370481b0c9db,Little Pepper
114,Queens,Bayside,4b78929ff964a520aad72ee3,Bell Garden
115,Queens,Bayside,4d3b86f5d2c8f04d6c4b5972,China Bell
116,Queens,Little Neck,53794fd211d282a3cce576a2,Little Dumpling 李小籠
117,Queens,Little Neck,571ab7b2498ed52e0d5f4bca,LN1380 舍得食府
118,Queens,Little Neck,4bc25d5b4cdfc9b627109621,Northern Manor 同乐轩
119,Queens,Douglaston,5316051c11d2b2540d59332f,Best Garden Chinese Restaurant
120,Queens,Fresh Meadows,4ba022fbf964a520cf5c37e3,Peking
121,Queens,Jamaica Center,5aef90f3b9b37b002ceb20d4,Panda Express
122,Queens,Oakland Gardens,4b0ae7a3f964a520c92923e3,Empire Garden
123,Queens,Oakland Gardens,5a2b366193bd636532b50bdb,Little Dumpling
124,Queens,South Jamaica,4d82419c2fb7370411ea8811,Apple Garden Chinese Food
125,Queens,St. Albans,4e4e3d94bd4101d0d7a5b3ee,Panda Chinese Restaurant
126,Queens,Rochdale,4ea312218b81a02f89dcdc67,New Ming Garden
127,Queens,Rosedale,4cf2e1107bf3b60c9320687f,Win Chinese Store
128,Queens,Far Rockaway,4e4e41e8bd4101d0d7a620e0,Magic Wok
129,Queens,Far Rockaway,4e4e41e9bd4101d0d7a620eb,Butterflies Chinese Restaurant
130,Queens,Steinway,4c16e7c274fb20a16ee95012,Dragon Gate
131,Queens,Beechhurst,4d9bb050b8b2224b84908655,New Hong Kong
132,Queens,Beechhurst,4bf987b15efe2d7fcc646c34,Emperor House
133,Queens,Rockaway Beach,4d69549ede28224b0ac241be,Xing Xing
134,Queens,Queensboro Hill,4ac90140f964a520f7bd20e3,Main Street Taiwanese Gourmet 北港台菜
135,Queens,Queensboro Hill,4f844c6fe4b0059705cb042c,Lake Pavilion Restaurant
136,Queens,Queensboro Hill,4c56000b3e2220a163eb3ea5,88 Canteen
137,Queens,Ravenswood,5cbb548166f3cd002cce8aeb,Bund On Broadway
138,Queens,Ravenswood,4ae78dbff964a52056ac21e3,Fatima's Halal Kitchen
139,Staten Island,Stapleton,4f32043a19833175d60a05a4,Chieng Garden Kitchen
140,Staten Island,Rosebank,4d0ea12626fba09377f5fd72,New Win Hing
141,Staten Island,New Springville,4ba16a96f964a5200ab537e3,Peking Taste IV
142,Staten Island,New Dorp,4c14210c7f7f2d7fae69e068,Crown Palace
143,Staten Island,Great Kills,4b747adcf964a52010df2de3,Lucky Fortune Chinese Restaurant
144,Staten Island,Woodrow,4d8bc294bb88f04d0f659e3a,Islander Taste I
145,Brooklyn,Ditmas Park,4be756a4910020a1db5ad514,Cam Tak Express Restaurant
146,Brooklyn,Ditmas Park,4af378def964a520f8ed21e3,Bo Bo Kitchen
147,Brooklyn,Rugby,4d4218a5607b6dcb1ddd08c6,Wah Do Chinese Restaurant
